order_id,user_id,age,gender,city,product,category,quantity,price,payment_mode,order_status,rating,discount,order_month,delivery_days,total
10021,770,30,Male,Bangalore,Watch,Accessories,3,52106,UPI,Cancelled,4.0,16,Jul,2,131307.12
10022,344,46,Female,Bangalore,Headphones,Electronics,1,69844,UPI,Cancelled,1.0,20,Jul,7,55875.200000000004
10023,492,56,Male,Delhi,Headphones,Accessories,2,60371,COD,Returned,2.0,25,Feb,1,90556.5
10024,414,38,Male,Mumbai,Watch,Electronics,1,29440,Card,Delivered,4.0,13,Jan,5,25612.8
10025,386,43,Male,Pune,Tablet,Electronics,2,30090,COD,Cancelled,4.0,26,Sep,5,44533.2
10026,192,34,Male,Mumbai,Headphones,Electronics,2,52017,COD,Cancelled,3.0,2,Feb,3,101953.31999999999
10027,277,24,Female,Bangalore,Mobile,Electronics,1,67645,UPI,Returned,4.0,0,May,2,67645.0
10028,161,30,Male,Mumbai,Headphones,Accessories,1,29797,Card,Returned,2.0,17,May,4,24731.51
10029,460,22,Male,Bangalore,Tablet,Accessories,1,28366,UPI,Returned,5.0,1,Nov,7,28082.34
10030,314,43,Male,Mumbai,Laptop,Electronics,2,34491,Card,Cancelled,4.0,7,Aug,3,64153.259999999995
10031,22,20,Male,Pune,Laptop,Accessories,4,2407,UPI,Returned,3.0,15,Jan,6,8183.8
10032,253,24,Male,Delhi,Laptop,Accessories,4,26438,COD,Cancelled,1.0,3,Nov,7,102579.44
10033,748,56,Male,Pune,Headphones,Accessories,1,6310,Card,Delivered,2.0,18,Jul,2,5174.200000000001
10034,561,18,Male,Bangalore,Laptop,Accessories,1,56100,UPI,Cancelled,1.0,19,Mar,3,45441.0
10035,475,34,Female,Lucknow,Tablet,Accessories,3,59112,COD,Delivered,3.0138855638017716,9,Feb,9,161375.76
10036,59,42,Female,Pune,Tablet,Accessories,3,38205,UPI,Cancelled,4.0,16,May,1,96276.59999999999
10037,511,20,Female,Mumbai,Headphones,Accessories,3,18115,UPI,Delivered,5.0,16,Apr,8,45649.799999999996
10038,682,32,Female,Delhi,Mobile,Electronics,1,66773,UPI,Cancelled,3.0,20,Sep,1,53418.4
10039,476,46,Male,Mumbai,Headphones,Accessories,4,49203,COD,Cancelled,2.0,6,Nov,3,185003.28
10040,700,49,Female,Mumbai,Laptop,Electronics,4,59625,Card,Cancelled,5.0,8,Jan,6,219420.0
10041,783,43,Female,agra,Headphones,Electronics,1,50181,UPI,Cancelled,2.0,6,Nov,8,47170.14
10042,190,33,Female,Delhi,Tablet,Electronics,1,33067,COD,Returned,3.0,26,Mar,7,24469.579999999998
10043,687,42,Male,Lucknow,Headphones,Accessories,2,4918,UPI,Cancelled,3.0,20,Mar,3,7868.8
10044,563,45,Female,Mumbai,Headphones,Accessories,2,42664,Card,Cancelled,4.0,2,Apr,6,83621.44
10045,567,26,Female,Delhi,Mobile,Electronics,4,2486,UPI,Returned,2.0,23,Jul,1,7656.88
10046,244,18,Male,Lucknow,Tablet,Electronics,3,39093,COD,Returned,3.0138855638017716,11,May,8,104378.31
10047,505,38,Female,Mumbai,Watch,Accessories,4,34483,UPI,Returned,3.0138855638017716,22,Nov,9,107586.96
10048,131,39,Male,Delhi,Watch,Accessories,2,32489,UPI,Returned,4.0,3,Oct,9,63028.659999999996
10049,485,33,Female,Pune,Tablet,Accessories,4,47387,Card,Returned,2.0,16,Jun,4,159220.32
10050,647,58,Male,Mumbai,Watch,Electronics,2,23942,Card,Returned,2.0,28,Mar,4,34476.479999999996
10051,21,58,Female,agra,Laptop,Electronics,2,11743,Card,Returned,1.0,2,May,7,23016.28
10052,167,24,Female,Delhi,Watch,Accessories,3,632,UPI,Returned,4.0,10,Dec,7,1706.4
10053,274,31,Female,Mumbai,Laptop,Accessories,3,16056,COD,Returned,2.0,7,Nov,6,44796.24
10054,388,46,Male,Lucknow,Tablet,Electronics,2,64897,UPI,Returned,2.0,1,Feb,7,128496.06
10055,601,36,Female,Mumbai,Watch,Accessories,1,59940,UPI,Returned,3.0,24,Apr,1,45554.4
10056,316,36,Male,Bangalore,Watch,Accessories,3,34355,UPI,Delivered,1.0,13,Dec,9,89666.55
10057,14,19,Male,Lucknow,Laptop,Electronics,2,10339,UPI,Cancelled,3.0138855638017716,3,Mar,6,20057.66
10058,242,58,Male,Delhi,Laptop,Electronics,1,59564,Card,Cancelled,3.0138855638017716,15,Mar,8,50629.4
10059,777,32,Male,Lucknow,Headphones,Electronics,1,43720,Card,Returned,3.0,13,Dec,5,38036.4
10060,346,20,Female,Bangalore,Mobile,Electronics,4,41578,Card,Returned,4.0,6,Apr,7,156333.28
10061,565,28,Female,Bangalore,Watch,Accessories,4,66930,Card,Delivered,3.0138855638017716,9,Aug,3,243625.2
10062,340,47,Female,Mumbai,Mobile,Electronics,3,1765,COD,Returned,4.0,11,Dec,1,4712.55
10063,92,57,Male,Mumbai,Mobile,Accessories,1,23307,UPI,Delivered,2.0,22,Aug,7,18179.46
10064,367,35,Female,agra,Watch,Accessories,3,50014,UPI,Cancelled,5.0,27,Jan,5,109530.66
10065,455,19,Male,Lucknow,Laptop,Accessories,2,56816,UPI,Cancelled,3.0,7,Dec,1,105677.76
10066,428,49,Male,agra,Headphones,Electronics,3,65317,COD,Returned,4.0,22,May,9,152841.78
10067,509,25,Male,Bangalore,Tablet,Electronics,1,32729,COD,Delivered,2.0,10,Feb,9,29456.100000000002
10068,776,39,Female,Mumbai,Watch,Accessories,4,33248,Card,Delivered,2.0,19,Oct,6,107723.52
10069,35,23,Female,Mumbai,Watch,Accessories,3,41773,UPI,Cancelled,3.0,12,Jun,9,110280.72
10070,206,29,Male,Mumbai,Tablet,Electronics,4,55284,UPI,Cancelled,3.0138855638017716,11,Mar,7,196811.04
10071,81,57,Female,Delhi,Mobile,Accessories,3,18590,COD,Delivered,2.0,6,Dec,8,52423.799999999996
10072,562,53,Female,Bangalore,Headphones,Accessories,2,13874,UPI,Delivered,1.0,20,Oct,2,22198.4
10073,388,32,Male,Mumbai,Mobile,Accessories,1,46616,COD,Cancelled,3.0138855638017716,11,Oct,2,41488.24
10074,2,45,Male,Bangalore,Tablet,Accessories,3,59633,Card,Delivered,5.0,9,Sep,4,162798.09
10075,390,35,Female,Mumbai,Tablet,Accessories,2,68429,COD,Cancelled,3.0,6,Sep,1,128646.51999999999
10076,566,19,Male,Lucknow,Headphones,Accessories,2,57778,UPI,Delivered,3.0,18,Aug,8,94755.92000000001
10077,106,30,Male,Bangalore,Tablet,Accessories,2,36962,COD,Returned,3.0,25,Feb,5,55443.0
10078,772,32,Female,Pune,Tablet,Accessories,4,60124,COD,Cancelled,2.0,26,Nov,7,177967.04
10079,477,37,Female,Delhi,Headphones,Electronics,4,50641,Card,Delivered,2.0,6,Feb,2,190410.16
10080,703,38,Male,Pune,Watch,Electronics,2,11155,UPI,Cancelled,3.0,22,Nov,5,17401.8
10081,402,59,Female,Bangalore,Mobile,Accessories,2,42364,UPI,Delivered,3.0,17,Feb,9,70324.23999999999
10082,730,46,Male,Mumbai,Watch,Accessories,3,6910,Card,Returned,1.0,23,May,9,15962.1
10083,556,20,Male,Bangalore,Watch,Electronics,3,60888,COD,Returned,4.0,22,Dec,2,142477.92
10084,162,36,Female,Delhi,Mobile,Electronics,1,34178,COD,Returned,3.0138855638017716,24,Oct,2,25975.28
10085,202,20,Male,Bangalore,Watch,Electronics,3,23470,UPI,Cancelled,3.0138855638017716,11,Sep,5,62664.9
10086,270,31,Male,Mumbai,Headphones,Accessories,1,60451,COD,Returned,1.0,3,Jul,3,58637.47
10087,271,57,Male,Pune,Mobile,Electronics,1,19007,Card,Cancelled,3.0,24,Jul,1,14445.32
10088,456,21,Female,Lucknow,Laptop,Electronics,1,62186,UPI,Returned,2.0,0,Mar,1,62186.0
10089,462,28,Female,Pune,Watch,Accessories,4,18735,COD,Cancelled,2.0,4,Mar,5,71942.4
10090,727,48,Female,Mumbai,Tablet,Electronics,3,48183,Card,Returned,3.0,9,Oct,3,131539.59
10091,252,49,Male,Mumbai,Mobile,Accessories,2,67651,Card,Delivered,4.0,6,Mar,9,127183.87999999999
10092,702,44,Male,Delhi,Laptop,Electronics,1,9897,UPI,Delivered,5.0,19,Jan,3,8016.570000000001
10093,296,47,Female,Bangalore,Tablet,Electronics,2,30155,UPI,Cancelled,5.0,28,Dec,3,43423.2
10094,725,19,Female,Bangalore,Laptop,Electronics,1,65946,COD,Returned,1.0,6,Aug,3,61989.24
10095,720,26,Female,Pune,Watch,Electronics,3,44139,COD,Returned,3.0138855638017716,29,Dec,1,94016.06999999999
10096,749,45,Male,Lucknow,Tablet,Electronics,1,19330,COD,Delivered,4.0,27,Nov,3,14110.9
10097,338,48,Female,Lucknow,Watch,Accessories,3,8514,Card,Returned,5.0,24,Feb,5,19411.920000000002
10098,53,51,Male,Delhi,Tablet,Accessories,2,62231,Card,Returned,4.0,12,Nov,8,109526.56
10099,792,32,Female,Mumbai,Mobile,Electronics,3,43561,COD,Cancelled,2.0,13,Jul,7,113694.21
10100,217,42,Male,Delhi,Headphones,Accessories,2,69252,UPI,Delivered,2.0,4,Sep,4,132963.84
10101,764,53,Male,Bangalore,Headphones,Electronics,3,22359,Card,Returned,4.0,20,Feb,4,53661.600000000006
10102,188,25,Female,Mumbai,Laptop,Electronics,1,19408,Card,Returned,3.0,1,Jan,4,19213.92
10103,380,26,Male,agra,Tablet,Electronics,1,29193,COD,Cancelled,5.0,13,May,8,25397.91
10104,493,54,Female,Pune,Watch,Electronics,3,14103,UPI,Cancelled,5.0,20,Oct,8,33847.200000000004
10105,41,56,Male,Bangalore,Mobile,Electronics,2,44202,Card,Cancelled,2.0,7,May,2,82215.72
10106,157,49,Male,Lucknow,Mobile,Accessories,2,18845,UPI,Cancelled,3.0138855638017716,19,Jan,7,30528.9
10107,15,34,Female,Delhi,Mobile,Accessories,2,23187,Card,Returned,1.0,1,Sep,5,45910.26
10108,65,52,Male,Bangalore,Headphones,Accessories,3,30081,UPI,Returned,5.0,7,Mar,2,83925.98999999999
10109,521,54,Female,Bangalore,Watch,Accessories,3,37893,UPI,Returned,2.0,19,Feb,3,92079.99
10110,344,36,Female,Lucknow,Mobile,Electronics,3,8792,Card,Cancelled,2.0,29,Dec,7,18726.96
10111,129,46,Female,Lucknow,Mobile,Accessories,3,3948,UPI,Returned,4.0,28,Jul,6,8527.68
10112,648,24,Male,Lucknow,Laptop,Electronics,2,20128,Card,Delivered,4.0,4,Dec,6,38645.76
10113,472,45,Male,Delhi,Tablet,Electronics,2,15178,Card,Delivered,3.0138855638017716,29,May,7,21552.76
10114,63,26,Male,Lucknow,Tablet,Accessories,4,39315,UPI,Returned,4.0,11,Apr,6,139961.4
10115,139,45,Female,Pune,Tablet,Accessories,3,26977,Card,Cancelled,1.0,6,Apr,2,76075.14
10116,499,23,Female,Bangalore,Laptop,Electronics,4,54326,UPI,Delivered,5.0,26,Sep,8,160804.96
10117,593,46,Male,Lucknow,Headphones,Electronics,3,67250,Card,Returned,1.0,20,Sep,7,161400.0
10118,392,34,Male,Bangalore,Laptop,Electronics,4,20510,UPI,Delivered,1.0,12,Jan,6,72195.2
10119,675,33,Female,Mumbai,Mobile,Accessories,2,65646,Card,Delivered,4.0,14,Dec,5,112911.12
10120,419,40,Male,Mumbai,Watch,Electronics,2,58633,Card,Delivered,3.0138855638017716,9,Oct,6,106712.06
10121,289,48,Female,Lucknow,Mobile,Electronics,4,41143,COD,Delivered,2.0,3,Jul,3,159634.84
10122,379,20,Male,Bangalore,Mobile,Electronics,1,47187,Card,Returned,3.0,15,Nov,2,40108.95
10123,773,38,Female,Mumbai,Watch,Electronics,3,48493,Card,Delivered,2.0,6,Aug,9,136750.25999999998
10124,490,43,Male,Lucknow,Tablet,Accessories,4,25578,UPI,Returned,2.0,12,May,1,90034.56
10125,231,53,Male,Bangalore,Laptop,Accessories,4,66208,UPI,Delivered,2.0,3,Jul,2,256887.03999999998
10126,41,59,Female,Lucknow,Headphones,Electronics,1,17770,UPI,Delivered,2.0,25,Aug,1,13327.5
10127,28,54,Female,Bangalore,Mobile,Accessories,2,6763,UPI,Delivered,1.0,11,Aug,8,12038.14
10128,135,39,Female,Mumbai,Mobile,Electronics,4,21252,COD,Returned,4.0,19,Sep,4,68856.48000000001
10129,201,59,Male,Lucknow,Headphones,Accessories,2,12121,COD,Delivered,4.0,1,May,6,23999.579999999998
10130,780,29,Female,Mumbai,Laptop,Accessories,3,42869,UPI,Delivered,2.0,4,Feb,5,123462.72
10131,33,59,Female,Lucknow,Mobile,Accessories,1,60767,UPI,Cancelled,3.0,7,Jun,8,56513.31
10132,48,30,Male,Delhi,Headphones,Accessories,2,14745,UPI,Delivered,5.0,3,Jan,7,28605.3
10133,503,28,Female,agra,Mobile,Electronics,4,33176,UPI,Cancelled,2.0,26,Oct,1,98200.95999999999
10134,407,33,Female,Mumbai,Tablet,Electronics,1,66296,Card,Returned,2.0,28,Jun,8,47733.119999999995
10135,574,25,Female,Pune,Tablet,Electronics,1,53004,UPI,Delivered,3.0,1,Mar,4,52473.96
10136,728,57,Male,Mumbai,Mobile,Accessories,1,1852,Card,Delivered,1.0,24,Mar,7,1407.52
10137,99,57,Male,Bangalore,Mobile,Accessories,1,5743,UPI,Cancelled,2.0,5,Jul,3,5455.849999999999
10138,684,19,Male,Lucknow,Tablet,Electronics,1,45833,COD,Cancelled,3.0,2,Apr,2,44916.34
10139,726,47,Female,Delhi,Mobile,Accessories,3,59984,COD,Delivered,1.0,28,May,1,129565.44
10140,547,47,Male,Bangalore,Laptop,Accessories,3,50474,UPI,Returned,1.0,13,Jun,5,131737.13999999998
10141,739,29,Female,Bangalore,Laptop,Electronics,1,66202,COD,Cancelled,3.0138855638017716,9,Dec,3,60243.82
10142,613,27,Female,Bangalore,Watch,Accessories,4,21810,COD,Delivered,3.0138855638017716,10,Oct,3,78516.0
10143,462,28,Female,Bangalore,Laptop,Electronics,4,17939,COD,Cancelled,3.0138855638017716,4,Dec,8,68885.76
10144,643,32,Male,Delhi,Mobile,Accessories,3,1754,COD,Returned,2.0,21,Jun,1,4156.9800000000005
10145,769,33,Male,Pune,Mobile,Electronics,2,4786,Card,Cancelled,1.0,15,Feb,2,8136.2
10146,5,34,Female,Mumbai,Headphones,Accessories,1,15492,Card,Delivered,2.0,8,Mar,1,14252.640000000001
10147,218,43,Female,Bangalore,Laptop,Accessories,4,62552,Card,Cancelled,2.0,20,Jan,7,200166.40000000002
10148,503,19,Male,Mumbai,Tablet,Accessories,3,10223,Card,Returned,4.0,15,Mar,4,26068.649999999998
10149,767,29,Male,Mumbai,Tablet,Accessories,3,65683,UPI,Delivered,5.0,8,Aug,3,181285.08000000002
10150,398,43,Male,Bangalore,Watch,Accessories,2,15090,COD,Delivered,5.0,16,Apr,3,25351.2
10151,795,40,Female,Pune,Headphones,Electronics,2,45502,COD,Delivered,4.0,11,Feb,3,80993.56
10152,393,35,Male,Mumbai,Tablet,Accessories,4,47279,UPI,Delivered,2.0,14,Apr,2,162639.76
10153,207,49,Male,Lucknow,Watch,Electronics,2,12516,UPI,Returned,3.0,9,Jul,5,22779.12
10154,15,55,Male,agra,Laptop,Electronics,2,48683,Card,Delivered,1.0,3,Sep,1,94445.02
10155,554,20,Female,Bangalore,Headphones,Electronics,1,5244,Card,Returned,4.0,16,May,5,4404.96
10156,461,55,Male,Delhi,Headphones,Accessories,3,46857,COD,Returned,3.0138855638017716,17,May,8,116673.93
10157,691,20,Female,Mumbai,Mobile,Electronics,3,30739,UPI,Cancelled,4.0,17,Dec,7,76540.11
10158,575,47,Female,Pune,Laptop,Accessories,2,13422,COD,Cancelled,4.0,9,May,3,24428.04
10159,743,18,Female,Lucknow,Headphones,Accessories,3,584,UPI,Delivered,4.0,10,Oct,9,1576.8
10160,241,47,Male,Lucknow,Watch,Accessories,3,52647,Card,Delivered,5.0,20,Sep,7,126352.8
10161,564,49,Male,Delhi,Tablet,Electronics,4,61131,COD,Returned,2.0,0,Jul,1,244524.0
10162,96,45,Male,Delhi,Laptop,Accessories,3,15873,COD,Cancelled,4.0,9,Mar,6,43333.29
10163,734,38,Female,Mumbai,Laptop,Accessories,2,5656,UPI,Delivered,4.0,29,Feb,4,8031.5199999999995
10164,485,30,Male,Bangalore,Headphones,Accessories,4,39051,COD,Delivered,4.0,2,Sep,6,153079.91999999998
10165,407,44,Female,Pune,Headphones,Electronics,3,38963,Card,Returned,3.0,26,Mar,3,86497.86
10166,231,53,Male,Lucknow,Headphones,Electronics,3,49805,COD,Cancelled,3.0,5,Nov,5,141944.25
10167,749,24,Male,Delhi,Watch,Electronics,4,10153,UPI,Delivered,1.0,16,Aug,3,34114.08
10168,655,39,Male,Pune,Mobile,Electronics,4,23568,COD,Delivered,2.0,11,Dec,7,83902.08
10169,171,27,Male,Bangalore,Headphones,Accessories,3,35287,Card,Delivered,4.0,10,Apr,5,95274.90000000001
10170,541,56,Female,Lucknow,Mobile,Electronics,1,26173,UPI,Delivered,1.0,16,May,4,21985.32
10171,36,32,Female,Lucknow,Mobile,Accessories,1,16655,UPI,Delivered,3.0138855638017716,2,Aug,7,16321.9
10172,525,32,Female,Bangalore,Laptop,Electronics,3,1070,Card,Delivered,1.0,8,May,7,2953.2000000000003
10173,160,21,Female,Lucknow,Tablet,Accessories,3,57992,UPI,Cancelled,3.0138855638017716,17,Oct,9,144400.08
10174,699,49,Male,agra,Tablet,Electronics,4,12269,UPI,Returned,3.0138855638017716,27,Feb,3,35825.479999999996
10175,243,40,Female,Lucknow,Watch,Electronics,4,39421,COD,Returned,2.0,5,Jun,8,149799.8
10176,86,23,Female,Mumbai,Watch,Electronics,3,19575,UPI,Returned,3.0,2,Jul,7,57550.5
10177,796,41,Female,Bangalore,Tablet,Accessories,3,10801,COD,Delivered,2.0,5,Dec,9,30782.85
10178,578,37,Male,Pune,Tablet,Accessories,3,55501,Card,Returned,1.0,10,Jan,2,149852.7
10179,682,54,Female,Mumbai,Laptop,Electronics,3,48859,Card,Cancelled,3.0138855638017716,10,Oct,6,131919.30000000002
10180,557,37,Female,Pune,Laptop,Electronics,1,55619,Card,Delivered,2.0,6,Sep,5,52281.86
10181,574,29,Male,Lucknow,Tablet,Electronics,4,69691,Card,Cancelled,3.0,12,Jun,3,245312.32
10182,646,50,Male,Pune,Headphones,Electronics,2,16847,UPI,Delivered,1.0,12,Apr,7,29650.72
10183,796,45,Female,Mumbai,Headphones,Electronics,3,22553,UPI,Delivered,2.0,6,Feb,5,63599.46
10184,28,25,Female,Bangalore,Laptop,Electronics,3,59556,COD,Returned,4.0,13,Sep,6,155441.16
10185,620,18,Male,Delhi,Mobile,Accessories,3,68528,COD,Cancelled,4.0,1,Jun,4,203528.16
10186,556,54,Female,Pune,Tablet,Accessories,2,59188,COD,Returned,2.0,2,Sep,7,116008.48
10187,340,39,Male,Delhi,Watch,Accessories,4,58950,UPI,Delivered,2.0,3,Feb,7,228726.0
10188,798,23,Female,Pune,Headphones,Accessories,4,12804,COD,Cancelled,3.0138855638017716,7,May,5,47630.88
10189,331,38,Female,Pune,Mobile,Accessories,3,31903,UPI,Cancelled,3.0138855638017716,20,Jun,7,76567.2
10190,640,49,Female,Bangalore,Headphones,Accessories,3,37924,Card,Delivered,3.0,0,Nov,7,113772.0
10191,506,52,Female,Lucknow,Mobile,Electronics,4,60424,UPI,Returned,1.0,8,May,8,222360.32
10192,348,32,Female,Mumbai,Tablet,Electronics,2,21678,Card,Delivered,2.0,16,Jun,1,36419.04
10193,473,22,Male,Mumbai,Tablet,Electronics,3,18321,COD,Cancelled,1.0,17,Mar,4,45619.29
10194,231,23,Male,Mumbai,Tablet,Electronics,2,1214,UPI,Cancelled,4.0,6,Sep,1,2282.3199999999997
10195,190,42,Female,Lucknow,Laptop,Electronics,2,24624,COD,Cancelled,1.0,26,Feb,3,36443.52
10196,225,57,Female,Delhi,Mobile,Accessories,4,18011,COD,Delivered,5.0,2,Dec,8,70603.12
10197,385,46,Female,Mumbai,Watch,Accessories,3,55088,Card,Cancelled,3.0,21,Feb,7,130558.56000000001
10198,377,24,Male,Delhi,Watch,Accessories,1,11715,COD,Cancelled,3.0,15,May,3,9957.75
10199,283,57,Male,Lucknow,Tablet,Accessories,4,12351,UPI,Returned,1.0,7,Nov,4,45945.719999999994
10200,633,30,Male,Lucknow,Watch,Accessories,4,34050,COD,Returned,3.0,4,Oct,2,130752.0
10201,628,55,Male,Bangalore,Headphones,Electronics,1,56458,Card,Cancelled,1.0,16,Mar,2,47424.72
10202,745,35,Male,Mumbai,Mobile,Accessories,3,1678,Card,Returned,1.0,25,Feb,5,3775.5
10203,259,19,Male,Bangalore,Mobile,Accessories,2,68442,COD,Delivered,4.0,29,Jun,2,97187.64
10204,359,25,Male,Mumbai,Mobile,Accessories,2,46814,Card,Returned,1.0,27,Dec,7,68348.44
10205,710,28,Male,Lucknow,Headphones,Electronics,2,31646,COD,Returned,3.0,18,Jun,1,51899.44
10206,456,50,Female,Lucknow,Laptop,Electronics,3,68760,Card,Returned,5.0,26,Jul,9,152647.2
10207,411,55,Male,Pune,Headphones,Electronics,4,35803,COD,Returned,2.0,17,Apr,1,118865.95999999999
10208,649,44,Male,Pune,Mobile,Electronics,4,54513,COD,Delivered,3.0,21,Aug,1,172261.08000000002
10209,318,37,Male,Lucknow,Mobile,Electronics,4,1701,UPI,Returned,5.0,29,Mar,9,4830.84
10210,677,29,Male,Lucknow,Mobile,Electronics,4,55603,UPI,Cancelled,3.0,4,Oct,7,213515.52
10211,225,48,Female,Delhi,Watch,Accessories,4,13164,COD,Returned,5.0,6,Jan,4,49496.64
10212,234,44,Male,Delhi,Laptop,Accessories,1,69124,UPI,Returned,3.0,17,May,3,57372.92
10213,684,49,Female,Bangalore,Headphones,Accessories,2,41956,UPI,Cancelled,2.0,29,Jun,5,59577.52
10214,664,27,Female,Pune,Mobile,Electronics,2,9164,Card,Delivered,4.0,12,Nov,2,16128.64
10215,374,20,Female,Pune,Tablet,Electronics,3,53034,UPI,Cancelled,4.0,21,Mar,6,125690.58
10216,672,44,Male,Lucknow,Laptop,Electronics,1,67196,Card,Cancelled,2.0,10,Feb,6,60476.4
10217,608,52,Male,Lucknow,Tablet,Electronics,4,11214,UPI,Cancelled,3.0,4,Mar,1,43061.76
10218,472,48,Male,Bangalore,Laptop,Accessories,4,4812,UPI,Cancelled,5.0,21,Mar,9,15205.92
10219,233,32,Female,Pune,Mobile,Electronics,4,21345,COD,Returned,1.0,14,Jul,1,73426.8
10220,692,33,Female,Delhi,Laptop,Electronics,1,51203,UPI,Returned,3.0,20,Jan,6,40962.4
10221,113,30,Female,Mumbai,Laptop,Electronics,3,35715,COD,Returned,2.0,6,Nov,7,100716.29999999999
10222,497,52,Female,Bangalore,Mobile,Electronics,1,41578,COD,Returned,3.0138855638017716,4,Apr,8,39914.88
10223,442,28,Male,Mumbai,Tablet,Electronics,3,36764,COD,Delivered,4.0,29,Nov,2,78307.31999999999
10224,564,38,Male,Delhi,Tablet,Accessories,2,34984,COD,Returned,4.0,28,Mar,8,50376.96
10225,268,28,Male,Delhi,Watch,Electronics,3,42662,UPI,Returned,3.0,6,Oct,2,120306.84
10226,510,47,Female,Mumbai,Tablet,Electronics,2,67491,COD,Delivered,5.0,16,Nov,2,113384.87999999999
10227,386,52,Female,Bangalore,Tablet,Accessories,3,40294,UPI,Cancelled,2.0,8,Jul,9,111211.44
10228,387,39,Male,Mumbai,Laptop,Electronics,2,29737,UPI,Returned,2.0,5,Jan,7,56500.299999999996
10229,113,55,Male,Bangalore,Watch,Electronics,2,65794,Card,Returned,5.0,8,Aug,8,121060.96
10230,613,48,Female,Bangalore,Mobile,Accessories,4,68507,Card,Cancelled,5.0,16,Oct,1,230183.52
10231,625,31,Male,Lucknow,Mobile,Accessories,3,867,Card,Returned,3.0,1,Jul,6,2574.99
10232,81,41,Male,Pune,Headphones,Accessories,4,13917,COD,Cancelled,3.0,22,Dec,1,43421.04
10233,699,49,Female,Pune,Watch,Accessories,2,52828,UPI,Cancelled,3.0138855638017716,19,Dec,5,85581.36
10234,113,53,Female,Delhi,Laptop,Accessories,4,69410,UPI,Cancelled,4.0,29,Aug,2,197124.4
10235,2,49,Female,Lucknow,Headphones,Accessories,1,7273,COD,Returned,4.0,12,Aug,9,6400.24
10236,642,32,Male,Pune,Headphones,Accessories,4,14705,Card,Cancelled,5.0,25,Nov,3,44115.0
10237,220,52,Female,Bangalore,Mobile,Accessories,3,55943,Card,Returned,1.0,29,Sep,7,119158.59
10238,566,20,Male,Bangalore,Tablet,Accessories,4,54563,UPI,Delivered,1.0,16,Jan,2,183331.68
10239,736,33,Male,Mumbai,Laptop,Accessories,1,47619,UPI,Cancelled,1.0,20,Sep,4,38095.200000000004
10240,225,22,Female,Mumbai,Watch,Electronics,4,34168,UPI,Returned,2.0,19,Jan,3,110704.32
10241,385,38,Male,Bangalore,Headphones,Accessories,2,3270,Card,Cancelled,3.0,5,Mar,1,6213.0
10242,403,27,Female,Bangalore,Laptop,Accessories,2,63037,UPI,Returned,5.0,28,Jul,6,90773.28
10243,638,36,Female,Mumbai,Mobile,Accessories,2,44808,Card,Returned,4.0,22,Aug,5,69900.48
10244,130,42,Male,Pune,Headphones,Accessories,3,38448,Card,Delivered,1.0,26,Dec,6,85354.56
10245,53,21,Male,Delhi,Headphones,Accessories,4,50602,Card,Cancelled,4.0,18,May,1,165974.56000000003
