order_id,user_id,age,gender,city,product,category,quantity,price,payment_mode,order_status,rating,discount,order_month,delivery_days
10080,703,,Male,Pune,Watch,Electronics,2,11155,UPI,Cancelled,3,22,Nov,5
10081,402,59,Female,Bangalore,Mobile,Accessories,2,42364,UPI,Delivered,3,17,Feb,9
10082,730,46,Male,Mumbai,Watch,Accessories,3,6910,Card,Returned,1,23,May,9
10083,556,20,Male,Bangalore,Watch,Electronics,3,60888,COD,Returned,4,22,Dec,2
10084,162,36,Female,Delhi,Mobile,Electronics,1,34178,COD,Returned,,24,Oct,2
10085,202,20,Male,Bangalore,Watch,Electronics,3,23470,UPI,Cancelled,,11,Sep,5
10086,270,31,Male,Mumbai,Headphones,Accessories,1,60451,COD,Returned,1,3,Jul,3
10087,271,57,Male,Pune,Mobile,Electronics,1,19007,Card,Cancelled,3,24,Jul,1
10088,456,21,Female,Lucknow,Laptop,Electronics,1,62186,UPI,Returned,2,0,Mar,1
10089,462,28,Female,Pune,Watch,Accessories,4,18735,COD,Cancelled,2,4,Mar,5
10090,727,48,Female,Mumbai,Tablet,Electronics,3,48183,Card,Returned,3,9,Oct,3
10091,252,49,Male,Mumbai,Mobile,Accessories,2,67651,Card,Delivered,4,6,Mar,9
10092,702,44,Male,Delhi,Laptop,Electronics,1,9897,UPI,Delivered,5,19,Jan,3
10093,296,47,Female,Bangalore,Tablet,Electronics,2,30155,UPI,Cancelled,5,28,Dec,3
10094,725,19,Female,Bangalore,Laptop,Electronics,1,65946,COD,Returned,1,6,Aug,3
10095,720,26,Female,Pune,Watch,Electronics,3,44139,COD,Returned,,29,Dec,1
10096,749,45,Male,Lucknow,Tablet,Electronics,1,19330,COD,Delivered,4,27,Nov,3
10097,338,48,Female,Lucknow,Watch,Accessories,3,8514,Card,Returned,5,24,Feb,5
10098,53,51,Male,Delhi,Tablet,Accessories,2,62231,Card,Returned,4,12,Nov,8
10099,792,32,Female,Mumbai,Mobile,Electronics,3,43561,COD,Cancelled,2,13,Jul,7
10100,217,42,Male,Delhi,Headphones,Accessories,2,69252,UPI,Delivered,2,4,Sep,4
10101,764,53,Male,Bangalore,Headphones,Electronics,3,22359,Card,Returned,4,20,Feb,4
10102,188,25,Female,Mumbai,Laptop,Electronics,1,19408,Card,Returned,3,1,Jan,4
10103,380,26,Male,,Tablet,Electronics,1,29193,COD,Cancelled,5,13,May,8
10104,493,54,Female,Pune,Watch,Electronics,3,14103,UPI,Cancelled,5,20,Oct,8
10105,41,56,Male,Bangalore,Mobile,Electronics,2,44202,Card,Cancelled,2,7,May,2
10106,157,49,Male,Lucknow,Mobile,Accessories,2,18845,UPI,Cancelled,,19,Jan,7
10107,15,34,Female,Delhi,Mobile,Accessories,2,23187,Card,Returned,1,1,Sep,5
10108,65,52,Male,Bangalore,Headphones,Accessories,3,30081,UPI,Returned,5,7,Mar,2
10109,521,54,Female,Bangalore,Watch,Accessories,3,37893,UPI,Returned,2,19,Feb,3
10110,344,36,Female,Lucknow,Mobile,Electronics,3,8792,Card,Cancelled,2,29,Dec,7
10111,129,46,Female,Lucknow,Mobile,Accessories,3,3948,UPI,Returned,4,28,Jul,6
10112,648,24,Male,Lucknow,Laptop,Electronics,2,20128,Card,Delivered,4,4,Dec,6
10113,472,45,Male,Delhi,Tablet,Electronics,2,15178,Card,Delivered,,29,May,7
10114,63,26,Male,Lucknow,Tablet,Accessories,4,39315,UPI,Returned,4,11,Apr,6
10115,139,45,Female,Pune,Tablet,Accessories,3,26977,Card,Cancelled,1,6,Apr,2
10116,499,23,Female,Bangalore,Laptop,Electronics,4,54326,UPI,Delivered,5,26,Sep,8
10117,593,46,Male,Lucknow,Headphones,Electronics,3,67250,Card,Returned,1,20,Sep,7
10118,392,34,Male,Bangalore,Laptop,Electronics,4,20510,UPI,Delivered,1,12,Jan,6
10119,675,33,Female,Mumbai,Mobile,Accessories,2,65646,Card,Delivered,4,14,Dec,5
10120,419,40,Male,Mumbai,Watch,Electronics,2,58633,Card,Delivered,,9,Oct,6
10121,289,48,Female,Lucknow,Mobile,Electronics,4,41143,COD,Delivered,2,3,Jul,3
10122,379,20,Male,Bangalore,Mobile,Electronics,1,47187,Card,Returned,3,15,Nov,2
10123,773,38,Female,Mumbai,Watch,Electronics,3,48493,Card,Delivered,2,6,Aug,9
10124,490,43,Male,Lucknow,Tablet,Accessories,4,25578,UPI,Returned,2,12,May,1
10125,231,53,Male,Bangalore,Laptop,Accessories,4,66208,UPI,Delivered,2,3,Jul,2
10126,41,59,Female,Lucknow,Headphones,Electronics,1,17770,UPI,Delivered,2,25,Aug,1
10127,28,54,Female,Bangalore,Mobile,Accessories,2,6763,UPI,Delivered,1,11,Aug,8
10128,135,39,Female,Mumbai,Mobile,Electronics,4,21252,COD,Returned,4,19,Sep,4
10129,201,59,Male,Lucknow,Headphones,Accessories,2,12121,COD,Delivered,4,1,May,6
10130,780,29,Female,Mumbai,Laptop,Accessories,3,42869,UPI,Delivered,2,4,Feb,5
10131,33,59,Female,Lucknow,Mobile,Accessories,1,60767,UPI,Cancelled,3,7,Jun,8
10132,48,30,Male,Delhi,Headphones,Accessories,2,14745,UPI,Delivered,5,3,Jan,7
10133,503,28,Female,,Mobile,Electronics,4,33176,UPI,Cancelled,2,26,Oct,1
10134,407,33,Female,Mumbai,Tablet,Electronics,1,66296,Card,Returned,2,28,Jun,8
10135,574,25,Female,Pune,Tablet,Electronics,1,53004,UPI,Delivered,3,1,Mar,4
10136,728,57,Male,Mumbai,Mobile,Accessories,1,1852,Card,Delivered,1,24,Mar,7
10137,99,57,Male,Bangalore,Mobile,Accessories,1,5743,UPI,Cancelled,2,5,Jul,3
10138,684,19,Male,Lucknow,Tablet,Electronics,1,45833,COD,Cancelled,3,2,Apr,2
10139,726,47,Female,Delhi,Mobile,Accessories,3,59984,COD,Delivered,1,28,May,1
10140,547,47,Male,Bangalore,Laptop,Accessories,3,50474,UPI,Returned,1,13,Jun,5
10141,739,29,Female,Bangalore,Laptop,Electronics,1,66202,COD,Cancelled,,9,Dec,3
10142,613,27,Female,Bangalore,Watch,Accessories,4,21810,COD,Delivered,,10,Oct,3
10143,462,28,Female,Bangalore,Laptop,Electronics,4,17939,COD,Cancelled,,4,Dec,8
10144,643,32,Male,Delhi,Mobile,Accessories,3,1754,COD,Returned,2,21,Jun,1
10145,769,33,Male,Pune,Mobile,Electronics,2,4786,Card,Cancelled,1,15,Feb,2
10146,5,34,Female,Mumbai,Headphones,Accessories,1,15492,Card,Delivered,2,8,Mar,1
10147,218,43,Female,Bangalore,Laptop,Accessories,4,62552,Card,Cancelled,2,20,Jan,7
10148,503,19,Male,Mumbai,Tablet,Accessories,3,10223,Card,Returned,4,15,Mar,4
10149,767,29,Male,Mumbai,Tablet,Accessories,3,65683,UPI,Delivered,5,8,Aug,3
10150,398,43,Male,Bangalore,Watch,Accessories,2,15090,COD,Delivered,5,16,Apr,3
10151,795,40,Female,Pune,Headphones,Electronics,2,45502,COD,Delivered,4,11,Feb,3
10152,393,35,Male,Mumbai,Tablet,Accessories,4,47279,UPI,Delivered,2,14,Apr,2
10153,207,49,Male,Lucknow,Watch,Electronics,2,12516,UPI,Returned,3,9,Jul,5
10154,15,55,Male,,Laptop,Electronics,2,48683,Card,Delivered,1,3,Sep,1
10155,554,20,Female,Bangalore,Headphones,Electronics,1,5244,Card,Returned,4,16,May,5
10156,461,55,Male,Delhi,Headphones,Accessories,3,46857,COD,Returned,,17,May,8
10157,691,20,Female,Mumbai,Mobile,Electronics,3,30739,UPI,Cancelled,4,17,Dec,7
10158,575,47,Female,Pune,Laptop,Accessories,2,13422,COD,Cancelled,4,9,May,3
10159,743,18,Female,Lucknow,Headphones,Accessories,3,584,UPI,Delivered,4,10,Oct,9
10160,241,47,Male,Lucknow,Watch,Accessories,3,52647,Card,Delivered,5,20,Sep,7
10161,564,49,Male,Delhi,Tablet,Electronics,4,61131,COD,Returned,2,0,Jul,1
10162,96,45,Male,Delhi,Laptop,Accessories,3,15873,COD,Cancelled,4,9,Mar,6
10163,734,38,Female,Mumbai,Laptop,Accessories,2,5656,UPI,Delivered,4,29,Feb,4
10164,485,30,Male,Bangalore,Headphones,Accessories,4,39051,COD,Delivered,4,2,Sep,6
10165,407,44,Female,Pune,Headphones,Electronics,3,38963,Card,Returned,3,26,Mar,3
10166,231,53,Male,Lucknow,Headphones,Electronics,3,49805,COD,Cancelled,3,5,Nov,5
10167,749,24,Male,Delhi,Watch,Electronics,4,10153,UPI,Delivered,1,16,Aug,3
10168,655,39,Male,Pune,Mobile,Electronics,4,23568,COD,Delivered,2,11,Dec,7
10169,171,27,Male,Bangalore,Headphones,Accessories,3,35287,Card,Delivered,4,10,Apr,5
10170,541,56,Female,Lucknow,Mobile,Electronics,1,26173,UPI,Delivered,1,16,May,4
10171,36,32,Female,Lucknow,Mobile,Accessories,1,16655,UPI,Delivered,,2,Aug,7
10172,525,32,Female,Bangalore,Laptop,Electronics,3,1070,Card,Delivered,1,8,May,7
10173,160,21,Female,Lucknow,Tablet,Accessories,3,57992,UPI,Cancelled,,17,Oct,9
10174,699,49,Male,,Tablet,Electronics,4,12269,UPI,Returned,,27,Feb,3
10175,243,40,Female,Lucknow,Watch,Electronics,4,39421,COD,Returned,2,5,Jun,8
10176,86,23,Female,Mumbai,Watch,Electronics,3,19575,UPI,Returned,3,2,Jul,7
10177,796,41,Female,Bangalore,Tablet,Accessories,3,10801,COD,Delivered,2,5,Dec,9
10178,578,37,Male,Pune,Tablet,Accessories,3,55501,Card,Returned,1,10,Jan,2
10179,682,54,Female,Mumbai,Laptop,Electronics,3,48859,Card,Cancelled,,10,Oct,6
10180,557,37,Female,Pune,Laptop,Electronics,1,55619,Card,Delivered,2,6,Sep,5
10181,574,29,Male,Lucknow,Tablet,Electronics,4,69691,Card,Cancelled,3,12,Jun,3
10182,646,50,Male,Pune,Headphones,Electronics,2,16847,UPI,Delivered,1,12,Apr,7
10183,796,45,Female,Mumbai,Headphones,Electronics,3,22553,UPI,Delivered,2,6,Feb,5
10184,28,25,Female,Bangalore,Laptop,Electronics,3,59556,COD,Returned,4,13,Sep,6
10185,620,18,Male,Delhi,Mobile,Accessories,3,68528,COD,Cancelled,4,1,Jun,4
10186,556,54,Female,Pune,Tablet,Accessories,2,59188,COD,Returned,2,2,Sep,7
10187,340,39,Male,Delhi,Watch,Accessories,4,58950,UPI,Delivered,2,3,Feb,7
10188,798,23,Female,Pune,Headphones,Accessories,4,12804,COD,Cancelled,,7,May,5
10189,331,38,Female,Pune,Mobile,Accessories,3,31903,UPI,Cancelled,,20,Jun,7
10190,640,49,Female,Bangalore,Headphones,Accessories,3,37924,Card,Delivered,3,0,Nov,7
10191,506,52,Female,Lucknow,Mobile,Electronics,4,60424,UPI,Returned,1,8,May,8
10192,348,32,Female,Mumbai,Tablet,Electronics,2,21678,Card,Delivered,2,16,Jun,1
10193,473,22,Male,Mumbai,Tablet,Electronics,3,18321,COD,Cancelled,1,17,Mar,4
10194,231,23,Male,Mumbai,Tablet,Electronics,2,1214,UPI,Cancelled,4,6,Sep,1
10195,190,42,Female,Lucknow,Laptop,Electronics,2,24624,COD,Cancelled,1,26,Feb,3
10196,225,57,Female,Delhi,Mobile,Accessories,4,18011,COD,Delivered,5,2,Dec,8
10197,385,46,Female,Mumbai,Watch,Accessories,3,55088,Card,Cancelled,3,21,Feb,7
10198,377,24,Male,Delhi,Watch,Accessories,1,11715,COD,Cancelled,3,15,May,3
10199,283,57,Male,Lucknow,Tablet,Accessories,4,12351,UPI,Returned,1,7,Nov,4
10200,633,30,Male,Lucknow,Watch,Accessories,4,34050,COD,Returned,3,4,Oct,2
10201,628,55,Male,Bangalore,Headphones,Electronics,1,56458,Card,Cancelled,1,16,Mar,2
10202,745,35,Male,Mumbai,Mobile,Accessories,3,1678,Card,Returned,1,25,Feb,5
10203,259,19,Male,Bangalore,Mobile,Accessories,2,68442,COD,Delivered,4,29,Jun,2
10204,359,25,Male,Mumbai,Mobile,Accessories,2,46814,Card,Returned,1,27,Dec,7
10205,710,28,Male,Lucknow,Headphones,Electronics,2,31646,COD,Returned,3,18,Jun,1
10206,456,50,Female,Lucknow,Laptop,Electronics,3,68760,Card,Returned,5,26,Jul,9
10207,411,55,Male,Pune,Headphones,Electronics,4,35803,COD,Returned,2,17,Apr,1
10208,649,44,Male,Pune,Mobile,Electronics,4,54513,COD,Delivered,3,21,Aug,1
10209,318,37,Male,Lucknow,Mobile,Electronics,4,1701,UPI,Returned,5,29,Mar,9
10210,677,29,Male,Lucknow,Mobile,Electronics,4,55603,UPI,Cancelled,3,4,Oct,7
10211,225,48,Female,Delhi,Watch,Accessories,4,13164,COD,Returned,5,6,Jan,4
10212,234,44,Male,Delhi,Laptop,Accessories,1,69124,UPI,Returned,3,17,May,3
10213,684,49,Female,Bangalore,Headphones,Accessories,2,41956,UPI,Cancelled,2,29,Jun,5
10214,664,27,Female,Pune,Mobile,Electronics,2,9164,Card,Delivered,4,12,Nov,2
10215,374,20,Female,Pune,Tablet,Electronics,3,53034,UPI,Cancelled,4,21,Mar,6
10216,672,44,Male,Lucknow,Laptop,Electronics,1,67196,Card,Cancelled,2,10,Feb,6
10217,608,52,Male,Lucknow,Tablet,Electronics,4,11214,UPI,Cancelled,3,4,Mar,1
10218,472,48,Male,Bangalore,Laptop,Accessories,4,4812,UPI,Cancelled,5,21,Mar,9
10219,233,32,Female,Pune,Mobile,Electronics,4,21345,COD,Returned,1,14,Jul,1
10220,692,33,Female,Delhi,Laptop,Electronics,1,51203,UPI,Returned,3,20,Jan,6
10221,113,30,Female,Mumbai,Laptop,Electronics,3,35715,COD,Returned,2,6,Nov,7
10222,497,52,Female,Bangalore,Mobile,Electronics,1,41578,COD,Returned,,4,Apr,8
10223,442,28,Male,Mumbai,Tablet,Electronics,3,36764,COD,Delivered,4,29,Nov,2
10224,564,38,Male,Delhi,Tablet,Accessories,2,34984,COD,Returned,4,28,Mar,8
10225,268,28,Male,Delhi,Watch,Electronics,3,42662,UPI,Returned,3,6,Oct,2
10226,510,47,Female,Mumbai,Tablet,Electronics,2,67491,COD,Delivered,5,16,Nov,2
10227,386,52,Female,Bangalore,Tablet,Accessories,3,40294,UPI,Cancelled,2,8,Jul,9
10228,387,39,Male,Mumbai,Laptop,Electronics,2,29737,UPI,Returned,2,5,Jan,7
10229,113,55,Male,Bangalore,Watch,Electronics,2,65794,Card,Returned,5,8,Aug,8
10230,613,48,Female,Bangalore,Mobile,Accessories,4,68507,Card,Cancelled,5,16,Oct,1
10231,625,31,Male,Lucknow,Mobile,Accessories,3,867,Card,Returned,3,1,Jul,6
10232,81,41,Male,Pune,Headphones,Accessories,4,13917,COD,Cancelled,3,22,Dec,1
10233,699,49,Female,Pune,Watch,Accessories,2,52828,UPI,Cancelled,,19,Dec,5
10234,113,53,Female,Delhi,Laptop,Accessories,4,69410,UPI,Cancelled,4,29,Aug,2
10235,2,49,Female,Lucknow,Headphones,Accessories,1,7273,COD,Returned,4,12,Aug,9
10236,642,32,Male,Pune,Headphones,Accessories,4,14705,Card,Cancelled,5,25,Nov,3
10237,220,52,Female,Bangalore,Mobile,Accessories,3,55943,Card,Returned,1,29,Sep,7
10238,566,20,Male,Bangalore,Tablet,Accessories,4,54563,UPI,Delivered,1,16,Jan,2
10239,736,33,Male,Mumbai,Laptop,Accessories,1,47619,UPI,Cancelled,1,20,Sep,4
10240,225,22,Female,Mumbai,Watch,Electronics,4,34168,UPI,Returned,2,19,Jan,3
10241,385,38,Male,Bangalore,Headphones,Accessories,2,3270,Card,Cancelled,3,5,Mar,1
10242,403,27,Female,Bangalore,Laptop,Accessories,2,63037,UPI,Returned,5,28,Jul,6
10243,638,36,Female,Mumbai,Mobile,Accessories,2,44808,Card,Returned,4,22,Aug,5
10244,130,42,Male,Pune,Headphones,Accessories,3,38448,Card,Delivered,1,26,Dec,6
10245,53,21,Male,Delhi,Headphones,Accessories,4,50602,Card,Cancelled,4,18,May,1
10246,684,46,Female,Mumbai,Mobile,Electronics,2,4106,COD,Returned,3,5,Jan,8
10247,730,36,Female,Pune,Mobile,Electronics,4,33525,COD,Delivered,,1,Mar,4
10248,672,19,Female,Pune,Mobile,Electronics,1,50873,UPI,Returned,,27,Jul,7
10249,710,27,Female,Pune,Laptop,Accessories,1,14888,Card,Returned,5,25,Feb,8
10250,416,42,Female,Lucknow,Laptop,Accessories,3,31420,UPI,Delivered,1,12,Feb,3
10251,247,37,Female,Lucknow,Laptop,Electronics,4,35693,Card,Cancelled,1,19,Sep,4
10252,439,36,Male,Pune,Tablet,Accessories,1,15511,UPI,Delivered,,29,Jun,9
10253,203,40,Male,Bangalore,Headphones,Accessories,3,31754,UPI,Cancelled,5,9,Apr,9
10254,184,41,Male,Lucknow,Laptop,Electronics,3,58766,COD,Returned,4,28,Oct,7
10255,123,28,Male,Mumbai,Tablet,Accessories,2,11606,COD,Returned,3,8,Sep,3
10256,401,51,Female,Lucknow,Headphones,Accessories,1,22286,COD,Delivered,,12,Jul,4
10257,767,45,Male,Bangalore,Laptop,Accessories,4,57352,COD,Delivered,,6,Jul,7
10258,294,22,Male,Delhi,Mobile,Accessories,1,17444,Card,Delivered,3,17,Aug,6
10259,280,22,Female,Lucknow,Watch,Accessories,1,41664,UPI,Returned,3,21,Mar,6
10260,610,38,Male,Pune,Laptop,Accessories,4,29215,UPI,Cancelled,,13,Feb,4
10261,198,29,Female,Pune,Watch,Accessories,4,54751,Card,Delivered,4,3,Jan,8
10262,511,21,Female,Pune,Laptop,Electronics,2,69407,Card,Cancelled,4,7,Feb,9
10263,752,59,Female,Delhi,Mobile,Electronics,3,65006,UPI,Delivered,1,11,Mar,7
10264,144,37,Female,Bangalore,Watch,Accessories,4,36309,COD,Delivered,4,7,May,8
10265,609,55,Female,Mumbai,Tablet,Accessories,4,7344,COD,Delivered,2,15,Aug,2
10266,201,42,Male,Bangalore,Mobile,Electronics,1,50364,COD,Delivered,5,0,Nov,4
10267,124,31,Male,Delhi,Watch,Electronics,4,37674,Card,Returned,4,23,Nov,3
10268,187,28,Male,Pune,Watch,Electronics,4,46433,UPI,Returned,3,9,Mar,6
10269,326,49,Female,Bangalore,Mobile,Electronics,1,13644,Card,Delivered,4,6,Jul,2
10270,464,28,Male,,Mobile,Electronics,1,8149,UPI,Returned,1,29,Nov,7
10271,349,35,Male,,Mobile,Electronics,1,37145,COD,Returned,5,13,Nov,8
10272,771,44,Male,Mumbai,Headphones,Electronics,2,53174,COD,Returned,5,16,May,4
10273,660,35,Male,Lucknow,Tablet,Accessories,3,13318,COD,Returned,3,18,May,8
10274,764,40,Female,Mumbai,Laptop,Electronics,4,37380,UPI,Cancelled,5,29,Aug,8
10275,403,28,Male,Pune,Watch,Electronics,1,60609,COD,Cancelled,2,4,Oct,3
10276,346,38,Female,Lucknow,Laptop,Electronics,1,37833,UPI,Returned,5,18,May,1
10277,511,22,Female,Pune,Mobile,Accessories,3,54558,Card,Cancelled,,2,Oct,3
10278,147,40,Male,Pune,Tablet,Accessories,2,55075,COD,Delivered,3,0,Jul,1
10279,148,58,Female,Lucknow,Tablet,Accessories,4,25630,Card,Cancelled,5,7,Dec,2
10280,711,42,Female,Mumbai,Headphones,Electronics,2,27216,Card,Delivered,4,8,Oct,8
10281,489,58,Female,Delhi,Mobile,Electronics,2,31797,UPI,Cancelled,1,4,Aug,4
10282,640,27,Female,Delhi,Watch,Electronics,2,19562,Card,Cancelled,,0,Aug,9
10283,551,39,Female,Delhi,Headphones,Accessories,1,29992,UPI,Delivered,,16,Mar,7
10284,338,36,Female,Delhi,Mobile,Accessories,3,56981,UPI,Delivered,4,24,Apr,3
10285,641,18,Female,Bangalore,Headphones,Accessories,3,66877,Card,Returned,,13,Aug,1
10286,779,24,Male,Delhi,Laptop,Accessories,3,11067,UPI,Cancelled,2,16,May,1
10287,473,21,Male,Lucknow,Mobile,Accessories,2,37306,UPI,Delivered,2,8,Dec,1
10288,151,18,Female,Delhi,Watch,Accessories,4,48174,UPI,Returned,1,2,Jan,3
